ŽÀ•”,‹••”
0.0302124,-5.61978e-06
0.0244751,-5.40678e-06
0.0257263,-2.66263e-06
0.02948,-8.89277e-06
0.0238037,-1.76856e-06
0.0196838,-7.68929e-06
0.0232239,4.9145e-07
0.0172119,7.09416e-07
0.00421141,1.95176e-06
-0.00054932,-2.87353e-06
0.000701891,1.04133e-06
-0.0010071,5.18621e-07
-0.00454712,-2.06862e-07
-0.00372315,-6.23806e-07
-0.00262453,6.93925e-07
-0.00460814,2.0809e-06
-0.00833131,6.16382e-06
-0.0109863,5.59933e-06
-0.00466919,5.94001e-06
0.00100708,6.77681e-06
0.00152587,-5.26358e-06
0.00656131,2.04905e-06
0.0174866,1.65023e-06
0.0166321,-1.7747e-06
0.00991821,4.39993e-06
0.0143738,-7.73106e-07
0.0213013,5.10934e-06
0.0179443,-5.19498e-07
0.0171814,-2.08967e-06
0.0205688,-7.7486e-07
0.013092,-1.78638e-06
0.00131225,-9.13295e-06
-0.00146485,-6.07792e-06
-0.00302124,3.28497e-06
-0.00878907,-3.88541e-06
-0.0128479,-2.11188e-06
-0.00875854,-1.79573e-06
-0.0043335,2.41019e-06
-0.00527948,-5.05178e-06
-0.0100097,-7.11925e-06
-0.0106201,-2.69976e-07
-0.00625611,7.83031e-08
-0.00146483,-4.40227e-06
0.00576781,-5.50057e-06
0.014801,1.62423e-06
0.0149536,1.10736e-06
0.0113525,4.46947e-06
0.0180054,4.54442e-06
0.0220947,3.99263e-06
0.0149536,-2.39617e-06
0.0133972,3.54984e-06
0.0210266,-6.24578e-06
0.0179138,7.03335e-06
0.0115051,3.9117e-06
0.0107727,-4.20742e-07
0.000793446,-3.06029e-06
-0.0122986,4.02331e-07
-0.0107727,-3.47752e-06
-0.00729371,-2.9738e-06
-0.0147095,-1.02351e-06
-0.0179138,-4.07532e-06
-0.0160522,3.23443e-06
-0.0177002,-7.63064e-06
-0.0180054,-2.63769e-06
-0.014862,1.23893e-05
-0.013855,2.19865e-06
-0.0105896,1.41094e-06
-0.00308227,5.73403e-06
0.00283813,3.92456e-06
0.00445557,1.63796e-06
0.00204467,8.70739e-06
0.00296022,-3.4784e-06
0.00778199,-1.36153e-07
0.00857543,1.77048e-06
0.00680543,3.32939e-06
0.010498,3.35568e-06
0.00894165,-2.66466e-07
