ŽÀ•”,‹••”
-0.00282034,-0.082003
0.0329989,0.0810651
-0.0812066,-0.069278
0.0929632,0.0063244
-0.0683816,-0.00220274
0.105422,-0.0210309
-0.0728238,0.0916316
0.0193963,-0.0822679
-0.0146701,0.0903228
-0.043982,-0.0974629
0.0625338,0.0432187
-0.0517164,-0.0406209
0.0802405,0.0219685
-0.0720874,0.018512
0.0475141,-0.0367262
-0.022825,0.0271662
0.0427473,-0.0218696
-0.0230724,0.0604911
-0.00755504,-0.027863
-0.0237922,0.0305537
0.00392383,-0.0507166
-0.00170213,0.0522682
-0.0271612,-0.0684725
0.0478758,0.0491791
-0.0656768,-0.0506306
0.105667,0.0154587
-0.0889259,0.0418131
0.0650287,-0.0439904
-0.0752262,0.0814795
0.00963051,-0.118609
0.030305,0.0856429
-0.0449481,-0.0751816
0.0669677,0.0591969
-0.0910991,-0.0307913
0.0810408,-0.0148112
-0.061251,0.0219891
0.0583336,-0.0374889
-0.0404117,0.0520004
0.0224494,-0.052627
-0.0204895,0.05449
6.50659e-05,-0.0721313
0.0265669,0.0583844
-0.0293695,-0.0497492
0.0442768,0.0542781
-0.0767941,-0.0380175
0.0787826,-0.00108765
-0.0735822,0.0126836
0.0774444,-0.0451376
-0.0481585,0.0694917
0.0322593,-0.0777046
0.00205982,0.0980362
-0.0408278,-0.0760296
0.0529692,0.0688167
-0.0931145,-0.0335748
0.0600082,-0.00481813
-0.0818706,-0.0122152
0.0859453,-0.0660469
-0.0113272,0.0605897
0.0356186,-0.0378976
-0.00824982,0.0850244
-0.0324219,-0.0386333
-0.00298694,0.0489835
-0.0573197,-0.0536394
0.0291995,0.00602967
-0.0446947,-0.043715
0.0624091,-0.00343357
-0.0537146,-0.00150653
0.0580044,-0.0351931
-0.0419427,0.0252841
0.0537122,-0.0698871
0.00511134,0.067679
0.0119719,-0.0629274
0.0374523,0.0887571
-0.0640112,-0.043245
0.0574761,0.0335428
-0.0801751,-0.0238829
0.0911453,-0.0155487
-0.0749562,0.0481973
0.0515425,-0.0682324
-0.0318258,0.0757444
0.00806963,-0.0943153
0.035725,0.0883831
-0.0569441,-0.0646158
0.0709815,0.0486942
-0.0933767,-0.0231447
0.0871665,-0.0204944
-0.0729665,0.0333464
0.0656342,-0.0632931
-0.034839,0.0794415
0.00468752,-0.0866205
0.0199218,0.0716333
-0.0366796,-0.0745039
0.0671085,0.0456907
-0.0614325,-0.0312081
0.0853656,0.00894529
-0.0666147,0.0249066
0.0609228,-0.0293848
-0.0552695,0.0523876
0.0338769,-0.07202
-0.00502416,0.0728984
